время_с;Обороты;Нагрузка (сглаж.);Расход мгновенный;ALPHA;Впрыск расчёт;Впрыск РЕАЛ (форс);Указатель карты hi;Указатель карты lo;Карта топлива вернула;TPS дроссель;TPS открытие;Обогащ. ускорения;Флаг TPS;VE выбранное;Ktps выбранное;Флаг ХХ/газ;Банк концевиков;Флаги угла;Замкнутый цикл;УОЗ финал сырьё;УОЗ карта;Цель ХХ;АЦП ch0 MAF;АЦП ch1 напряжение;АЦП ch2 темп ОЖ;АЦП ch3 O2;peek ($1600);УОЗ_°BTDC;TP_%8;AFR_цель;AFR_факт;поправка_VE;давление_кПа;Загрузка_форс_%;Газ_%;K_форс;КМ
0.42;781;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;234;166;57;1;;15;2.62;14.7;;;;1.5;0.0;345;63
3.82;820;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;85;234;167;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
4.23;756;22;22;1.0;1.14;2.3;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;235;166;57;1;;15;2.75;14.7;;;;1.4;0.0;345;63
4.63;845;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.6;0.0;345;63
5.04;820;21;21;1.0;1.09;2.2;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;235;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
5.44;807;21;21;1.0;1.09;2.2;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;235;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
5.84;807;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;235;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
6.24;768;22;22;1.0;1.12;2.27;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;235;166;57;1;;15;2.75;14.7;;;;1.5;0.0;345;63
6.64;807;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;235;165;57;1;;15;2.62;14.7;;;;1.5;0.0;345;63
7.05;781;22;22;1.0;1.13;2.28;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;235;165;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
7.43;807;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;235;165;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
7.65;871;21;21;1.0;1.09;2.2;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;236;166;57;1;;15;2.62;14.7;;;;1.6;0.0;345;63
8.04;768;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;235;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
8.45;807;21;21;1.0;1.09;2.2;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;235;165;57;1;;15;2.62;14.7;;;;1.5;0.0;345;63
8.84;781;22;22;1.0;1.14;2.3;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;235;166;57;1;;15;2.75;14.7;;;;1.5;0.0;345;63
9.26;807;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;235;166;57;1;;15;2.62;14.7;;;;1.5;0.0;345;63
9.65;820;21;21;1.0;1.11;2.24;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;235;165;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
10.06;832;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;235;166;57;1;;15;2.62;14.7;;;;1.5;0.0;345;63
10.45;807;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
10.86;845;21;21;1.0;1.09;2.2;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;235;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
11.25;768;22;22;1.0;1.12;2.27;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;234;166;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
11.65;807;21;21;1.0;1.09;2.2;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;235;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
12.06;845;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;235;166;56;1;;15;2.62;14.7;;;;1.6;0.0;345;63
12.45;781;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
12.85;820;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;234;166;57;1;;15;2.62;14.7;;;;1.5;0.0;345;63
13.27;768;22;22;1.0;1.12;2.27;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;234;165;56;1;;15;2.75;14.7;;;;1.4;0.0;345;63
13.67;807;20;20;1.0;1.08;2.17;22;0;64;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;233;165;57;1;;15;2.5;14.7;;;;1.5;0.0;345;63
13.88;820;21;21;1.0;1.11;2.24;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;233;165;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
14.27;768;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;235;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
14.67;820;21;21;1.0;1.09;2.2;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;233;166;57;1;;15;2.62;14.7;;;;1.5;0.0;345;63
15.07;730;22;22;1.0;1.15;2.31;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;233;165;56;1;;15;2.75;14.7;;;;1.4;0.0;345;63
15.48;820;22;22;1.0;1.13;2.28;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;234;165;56;1;;15;2.75;14.7;;;;1.6;0.0;345;63
15.88;768;22;22;1.0;1.12;2.27;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;234;166;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
16.28;768;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
16.69;807;21;21;1.0;1.09;2.2;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;233;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
17.08;845;21;21;1.0;1.09;2.19;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;233;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
17.48;768;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;85;233;167;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
17.9;820;21;21;1.0;1.11;2.24;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;85;233;167;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
18.3;768;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;233;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
18.7;884;21;21;1.0;1.08;2.18;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;85;233;167;56;1;;15;2.62;14.7;;;;1.6;0.0;345;63
19.1;768;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;156;127;69;8;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
19.5;768;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;85;233;167;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
19.9;807;21;21;1.0;1.11;2.24;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;85;234;167;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
20.09;781;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;86;233;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
20.5;768;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;233;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
20.89;781;22;22;1.0;1.12;2.27;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;86;233;166;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
21.3;781;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;233;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
21.71;807;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;232;165;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
22.11;756;22;22;1.0;1.14;2.29;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;87;233;165;56;1;;15;2.75;14.7;;;;1.4;0.0;345;63
22.5;832;21;21;1.0;1.11;2.24;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;233;165;56;1;;15;2.62;14.7;;;;1.6;0.0;345;63
22.9;756;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;233;165;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
23.32;845;21;21;1.0;1.09;2.19;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;231;165;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
23.71;768;21;21;1.0;1.11;2.24;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;87;233;165;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
24.11;845;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;233;165;56;1;;15;2.62;14.7;;;;1.6;0.0;345;63
24.51;756;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;232;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
24.91;820;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;86;232;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
25.31;781;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;232;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
25.73;717;22;22;1.0;1.15;2.33;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;87;233;163;56;1;;15;2.75;14.7;;;;1.4;0.0;345;63
26.13;820;22;22;1.0;1.13;2.28;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;233;164;56;1;;15;2.75;14.7;;;;1.6;0.0;345;63
26.32;768;21;21;1.0;1.11;2.24;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;85;233;167;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
26.72;832;21;21;1.0;1.09;2.19;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;86;233;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
27.12;768;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
27.53;768;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;85;234;167;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
27.94;756;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;232;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
28.33;768;22;22;1.0;1.16;2.34;22;0;66;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;233;164;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
28.73;781;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;232;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
29.12;730;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;85;232;167;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
29.53;832;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;233;166;56;1;;15;2.62;14.7;;;;1.6;0.0;345;63
29.93;730;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;233;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
30.34;781;22;22;1.0;1.14;2.29;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;233;165;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
30.75;820;21;21;1.0;1.09;2.2;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;232;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
31.13;756;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;232;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
31.54;832;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;233;165;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
31.93;730;22;22;1.0;1.14;2.3;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;86;234;166;56;1;;15;2.75;14.7;;;;1.4;0.0;345;63
32.35;768;21;21;1.0;1.12;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;233;165;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
32.54;807;22;22;1.0;1.12;2.27;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;235;166;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
32.96;781;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
33.35;807;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
33.76;768;22;22;1.0;1.14;2.3;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;234;166;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
34.15;768;22;22;1.0;1.12;2.26;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;235;166;56;1;;15;2.75;14.7;;;;1.4;0.0;345;63
34.56;820;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;86;233;165;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
34.96;768;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;234;165;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
35.36;832;21;21;1.0;1.1;2.21;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
35.75;768;22;22;1.0;1.14;2.29;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;235;165;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
36.17;807;22;22;1.0;1.14;2.31;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;87;234;165;56;1;;15;2.75;14.7;;;;1.6;0.0;345;63
36.57;781;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;87;234;165;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
36.96;820;21;21;1.0;1.1;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
37.36;768;22;22;1.0;1.12;2.27;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;235;166;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
37.76;807;22;22;1.0;1.13;2.28;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;233;164;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
38.16;730;22;22;1.0;1.14;2.3;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;234;166;56;1;;15;2.75;14.7;;;;1.4;0.0;345;63
38.58;756;22;22;1.0;1.12;2.27;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;235;166;56;1;;15;2.75;14.7;;;;1.4;0.0;345;63
38.79;820;21;21;1.0;1.11;2.23;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;235;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
39.19;820;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
39.59;781;22;22;1.0;1.12;2.26;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;235;166;56;1;;15;2.75;14.7;;;;1.5;0.0;345;63
39.99;871;21;21;1.0;1.09;2.2;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;235;166;56;1;;15;2.62;14.7;;;;1.6;0.0;345;63
40.39;768;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;234;166;56;1;;15;2.62;14.7;;;;1.4;0.0;345;63
40.79;807;21;21;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;86;233;166;56;1;;15;2.62;14.7;;;;1.5;0.0;345;63
