Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
0.42;;;;;;;;;;;;;;;;;;;;;;;345;128;;;;;;;;;;;;;;;;;;;;
0.82;820;22;22;0;4.57;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.23;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;232;42;168;65;0;74
1.22;807;23;23;0;4.77;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.31;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;238;42;168;65;0;74
1.62;768;23;23;0;4.62;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.25;3.0;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;236;42;168;65;0;73
2.03;730;25;25;0;5.0;82;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;3.12;0.0;2.41;3.0;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;237;42;166;65;0;70
2.22;845;23;23;0;4.67;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.27;3.3;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;238;42;167;65;0;70
2.62;807;23;23;0;4.77;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.31;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;241;42;167;65;0;70
3.03;884;22;22;0;4.52;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.21;3.3;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;238;42;167;65;0;74
3.43;807;22;22;0;4.6;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.24;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;238;42;168;65;0;85
3.82;807;22;22;0;4.53;81;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.22;3.0;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;238;42;166;65;0;145
4.23;845;23;23;0;4.62;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.25;3.3;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;237;42;167;65;0;74
4.63;781;22;22;0;4.6;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.24;3.0;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;239;42;167;65;0;74
5.02;832;23;23;0;4.62;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.25;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;238;42;167;65;0;74
5.43;781;23;23;0;4.65;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.26;3.0;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;238;42;167;65;0;74
5.62;845;22;22;0;4.6;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.24;3.2;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;238;42;167;65;0;74
6.04;781;23;23;0;4.72;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.29;3.1;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;237;42;168;65;0;74
6.44;820;22;22;0;4.55;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.22;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;237;42;168;65;0;74
6.84;832;22;22;0;4.6;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.24;3.2;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;237;42;167;64;0;74
7.25;807;22;22;0;4.55;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.22;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;236;42;167;64;0;74
7.65;730;24;24;0;4.8;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.32;2.9;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;237;42;166;64;0;74
8.04;832;23;23;0;4.7;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.28;3.3;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;239;42;167;64;0;74
8.44;807;22;22;0;4.57;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.23;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;238;42;167;64;0;74
8.85;820;22;22;0;4.6;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.24;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;236;42;167;64;0;85
9.06;768;23;23;0;4.72;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.29;3.0;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;237;42;168;64;0;75
9.44;820;23;23;0;4.65;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.26;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;238;42;167;64;0;74
9.87;781;22;22;0;4.6;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.24;3.0;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;237;42;168;64;0;75
10.25;832;23;23;0;4.65;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.88;0.0;2.26;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;238;42;168;64;0;74
10.65;820;22;22;0;4.6;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.24;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;238;42;167;64;0;75
11.05;807;22;22;0;4.57;80;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.23;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;234;42;168;64;0;74
11.45;871;22;22;0;4.6;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.24;3.3;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;238;42;167;64;0;74
11.86;756;22;22;0;4.56;81;0;65;55;15;0;0;0.0;0.0;1.0;0;0;15;2.75;0.0;2.23;2.9;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;232;42;166;64;0;74
