время_с;Обороты;Нагрузка (сглаж.);Расход мгновенный;ALPHA;Впрыск расчёт;Впрыск РЕАЛ (форс);TPS дроссель;TPS открытие;Обогащ. ускорения;Флаг TPS;VE выбранное;Ktps выбранное;Флаг ХХ/газ;Банк концевиков;Флаги угла;Замкнутый цикл;УОЗ финал сырьё;УОЗ карта;Цель ХХ;АЦП ch0 MAF;АЦП ch1 напряжение;АЦП ch2 темп ОЖ;АЦП ch3 O2;peek ($1600);УОЗ_°BTDC;TP_%8;AFR_цель;AFR_факт;поправка_VE;давление_кПа;Загрузка_форс_%;Газ_%;K_форс;КМ
0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
0.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
0.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
0.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
1.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
1.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
1.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
1.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
2.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
2.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
2.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
2.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
2.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
3.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
3.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
3.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
3.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
3.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
4.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
4.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
4.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
4.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
4.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
5.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
5.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
5.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
5.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
5.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
6.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
6.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
6.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
6.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
6.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
7.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
7.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
7.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
8.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
8.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
8.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
8.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
8.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
9.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
9.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
9.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
9.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
9.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
10.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
10.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
10.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
10.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
10.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
11.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
11.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
11.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
11.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
11.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
12.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
12.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
12.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
12.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
13.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
13.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
13.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
13.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
13.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
14.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
14.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
14.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
14.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
14.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
15.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
15.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
15.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
15.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
16.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
16.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
16.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
16.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
17.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
17.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
17.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
17.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
17.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
18.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
18.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
18.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
18.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
18.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
19.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
19.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
19.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
19.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
19.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
20.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
20.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
20.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
20.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
20.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
21.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
21.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
21.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
21.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
21.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
22.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
22.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
22.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
22.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
22.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
23.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
23.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
23.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
23.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
23.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
24.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
24.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
24.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
24.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
25.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
25.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
25.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
25.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
25.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
26.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
26.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
26.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
26.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
26.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
27.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
27.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
27.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
27.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
27.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
28.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
28.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
28.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
28.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
28.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
29.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
29.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
29.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
29.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
29.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
30.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
30.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
30.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
30.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
30.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
31.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
31.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
31.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
31.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
31.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
32.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
32.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
32.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
32.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
32.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
33.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
33.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
33.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
33.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
34.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
34.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
34.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
34.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
34.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
35.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
35.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
35.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
35.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
35.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
36.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
36.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
36.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
36.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
36.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
37.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
37.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
37.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
37.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
37.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
38.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
38.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
38.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
38.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
38.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
39.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
39.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
39.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
39.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
39.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
40.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
40.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
40.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
40.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
41.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
41.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
41.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
41.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
41.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
42.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
42.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
42.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
42.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
42.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
43.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
43.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
43.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
43.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
43.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
44.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
44.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
44.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
44.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
44.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
45.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
45.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
45.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
45.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
45.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
46.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
46.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
46.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
46.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
46.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
47.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
47.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
47.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
47.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
48.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
48.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
48.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
48.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
49.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
49.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
49.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
49.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
49.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
50.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
50.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
50.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
50.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
50.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
51.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
51.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
51.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
51.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
51.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
52.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
52.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
52.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
52.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
52.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
53.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
53.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
53.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
53.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
53.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
54.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
54.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
54.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
54.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
54.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;345;63
55.15;0.0;0;0;1.0;0.48;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;97;883;150;169;0;32;20;0.0;14.7;;;;;0.0;345;63
55.36;0.0;0;0;1.0;0.48;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;97;883;150;169;0;32;20;0.0;14.7;;;;;0.0;345;63
55.56;0.0;0;0;1.0;0.48;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;97;134;150;169;0;32;20;0.0;14.7;;;;;0.0;345;63
55.78;0.0;0;0;1.0;0.48;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;97;134;150;169;0;32;20;0.0;14.7;;;;;0.0;345;63
55.98;0.0;0;0;1.0;0.48;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;98;16;150;169;0;32;20;0.0;14.7;;;;;0.0;345;63
56.19;0.0;0;0;1.0;0.48;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;98;16;150;169;0;32;20;0.0;14.7;;;;;0.0;345;63
56.41;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;98;16;149;169;0;32;20;0.0;14.7;;;;;0.0;345;63
56.61;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;98;16;149;169;0;32;20;0.0;14.7;;;;;0.0;345;63
56.83;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;98;16;149;169;0;32;20;0.0;14.7;;;;;0.0;345;63
57.03;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;100;16;149;168;0;32;20;0.0;14.7;;;;;0.0;345;63
57.24;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;100;16;149;168;0;32;20;0.0;14.7;;;;;0.0;345;63
57.45;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;98;16;149;168;0;32;20;0.0;14.7;;;;;0.0;345;63
57.66;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;98;16;149;168;0;32;20;0.0;14.7;;;;;0.0;345;63
57.86;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;98;16;149;168;0;32;20;0.0;14.7;;;;;0.0;345;63
58.07;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;98;16;149;168;0;32;20;0.0;14.7;;;;;0.0;345;63
58.28;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;99;16;146;168;0;32;20;0.0;14.7;;;;;0.0;345;63
58.48;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;99;16;148;168;0;32;20;0.0;14.7;;;;;0.0;345;63
58.69;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;99;16;148;168;0;32;20;0.0;14.7;;;;;0.0;345;63
58.89;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;99;16;148;168;0;32;20;0.0;14.7;;;;;0.0;345;63
59.09;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;99;16;148;168;0;32;20;0.0;14.7;;;;;0.0;345;63
59.29;0.0;0;0;1.0;0.49;11;43;0;0;0;0.0;0.0;128;127;69;56;50;40;99;16;148;168;0;32;20;0.0;14.7;;;;;0.0;345;63
59.5;0.0;0;0;1.0;0.49;11;333;172;0;0;0.0;0.0;128;127;68;56;50;45;99;16;148;168;0;32;20;0.0;14.7;;;;;84.3;345;63
59.71;0.0;0;0;1.0;0.49;11;333;172;0;0;0.0;0.0;128;127;68;56;50;45;99;16;148;168;0;32;20;0.0;14.7;;;;;84.3;345;63
59.92;0.0;0;0;1.0;0.49;11;387;172;0;0;0.0;0.0;128;127;68;56;50;45;99;16;148;168;0;32;20;0.0;14.7;;;;;100.0;345;63
60.14;0.0;0;0;1.0;0.49;11;387;172;0;0;0.0;0.0;128;127;68;56;50;45;98;16;149;168;0;32;20;0.0;14.7;;;;;100.0;345;63
60.35;0.0;0;0;1.0;0.49;11;387;172;0;0;0.0;0.0;128;127;68;56;50;45;98;16;149;168;0;32;20;0.0;14.7;;;;;100.0;345;63
60.57;0.0;0;0;1.0;0.49;11;387;172;0;0;0.0;0.0;128;127;68;56;50;45;98;16;149;168;0;32;20;0.0;14.7;;;;;100.0;345;63
60.77;0.0;0;0;1.0;0.49;11;387;172;0;0;0.0;0.0;128;127;68;56;50;45;98;16;149;168;0;32;20;0.0;14.7;;;;;100.0;345;63
60.97;0.0;0;0;1.0;0.49;11;387;172;0;0;0.0;0.0;128;127;68;56;50;45;98;16;149;168;0;32;20;0.0;14.7;;;;;100.0;345;63
61.18;0.0;0;0;1.0;0.49;11;387;172;0;0;0.0;0.0;128;127;68;56;50;45;98;16;149;168;0;32;20;0.0;14.7;;;;;100.0;345;63
61.39;0.0;0;0;1.0;0.49;11;187;15;0;0;0.0;0.0;128;127;68;56;50;45;98;16;149;168;0;32;20;0.0;14.7;;;;;41.9;345;63
61.59;0.0;0;0;1.0;0.49;11;187;15;0;0;0.0;0.0;128;127;68;56;50;45;98;16;149;168;0;32;20;0.0;14.7;;;;;41.9;345;63
61.8;0.0;0;0;1.0;0.49;11;43;1;0;0;0.0;0.0;128;127;69;56;50;35;98;16;149;168;0;32;20;0.0;14.7;;;;;0.0;345;63
62.0;0.0;0;0;1.0;0.49;11;44;1;0;0;0.0;0.0;128;127;69;56;50;35;98;16;149;168;0;32;20;0.0;14.7;;;;;0.3;345;63
