время_с;Обороты;Нагрузка (сглаж.);Расход мгновенный;ALPHA;Впрыск расчёт;Впрыск РЕАЛ (форс);Указатель карты hi;Указатель карты lo;Карта топлива вернула;TPS дроссель;TPS открытие;Обогащ. ускорения;Флаг TPS;VE выбранное;Ktps выбранное;Флаг ХХ/газ;Банк концевиков;Флаги угла;Замкнутый цикл;УОЗ финал сырьё;УОЗ карта;Цель ХХ;АЦП ch0 MAF;АЦП ch1 напряжение;АЦП ch2 темп ОЖ;АЦП ch3 O2;peek ($1600);УОЗ_°BTDC;TP_%8;AFR_цель;AFR_факт;поправка_VE;давление_кПа;Загрузка_форс_%;Газ_%;K_форс;КМ
0.4;896;23;23;1.0;1.2;2.44;253;0;66;43;0;0;0;0.0;0.0;140;127;69;56;55;15;90;255;160;57;0;;15;2.88;14.47;;;;1.8;0.0;345;63
0.6;884;22;22;1.0;1.16;2.33;253;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;90;251;161;57;0;;15;2.75;14.7;;;;1.7;0.0;345;63
1.02;948;22;22;1.0;1.17;2.36;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;90;251;161;57;0;;15;2.75;14.7;;;;1.9;0.0;345;63
1.43;896;22;22;1.0;1.16;2.33;253;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;90;250;161;57;0;;15;2.75;14.7;;;;1.7;0.0;345;63
1.82;845;23;23;1.0;1.18;2.39;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;90;249;161;57;0;;15;2.88;14.47;;;;1.7;0.0;345;63
2.21;922;22;22;1.0;1.16;2.33;253;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;90;247;161;57;0;;15;2.75;14.7;;;;1.8;0.0;345;63
2.61;845;23;23;1.0;1.19;2.41;253;0;66;43;0;0;0;0.0;0.0;140;127;69;8;55;15;90;248;161;57;0;;15;2.88;14.47;;;;1.7;0.0;345;63
3.03;820;23;23;1.0;1.18;2.39;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;90;248;161;57;0;;15;2.88;14.47;;;;1.6;0.0;345;63
3.42;820;23;23;1.0;1.18;2.39;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;90;247;161;57;0;;15;2.88;14.47;;;;1.6;0.0;345;63
3.84;884;22;22;1.0;1.16;2.33;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;90;246;161;57;0;;15;2.75;14.7;;;;1.7;0.0;345;63
4.23;884;22;22;1.0;1.15;2.3;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;90;244;161;57;0;;15;2.75;14.7;;;;1.7;0.0;345;63
4.65;845;22;22;1.0;1.17;2.36;253;0;66;43;0;0;0;0.0;0.0;140;127;69;24;55;15;90;244;161;57;0;;15;2.75;14.7;;;;1.7;0.0;345;63
5.03;871;22;22;1.0;1.15;2.3;253;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;90;243;161;58;0;;15;2.75;14.7;;;;1.7;0.0;345;63
5.44;820;23;23;1.0;1.18;2.38;253;0;66;43;0;0;0;0.0;0.0;140;127;69;8;55;15;90;243;162;58;0;;15;2.88;14.47;;;;1.6;0.0;345;63
5.85;845;22;22;1.0;1.17;2.36;253;0;66;43;0;0;0;0.0;0.0;140;127;69;56;55;15;90;244;161;58;0;;15;2.75;14.7;;;;1.7;0.0;345;63
6.24;871;22;22;1.0;1.17;2.35;253;0;65;43;0;0;0;0.0;0.0;156;127;69;56;55;15;89;244;162;58;0;;15;2.75;14.7;;;;1.7;0.0;345;63
6.63;896;22;22;1.0;1.15;2.3;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;90;244;161;58;0;;15;2.75;14.7;;;;1.7;0.0;345;63
6.84;884;22;22;1.0;1.15;2.31;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;90;242;161;58;0;;15;2.75;14.7;;;;1.7;0.0;345;63
7.24;871;22;22;1.0;1.15;2.31;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;90;242;161;58;0;;15;2.75;14.7;;;;1.7;0.0;345;63
7.66;896;21;21;1.0;1.11;2.21;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;90;239;161;58;0;;15;2.62;14.7;;;;1.7;0.0;345;63
8.05;884;22;22;1.0;1.16;2.33;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;90;243;161;58;0;;15;2.75;14.7;;;;1.7;0.0;345;63
8.44;845;21;21;1.0;1.14;2.27;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;90;239;161;58;0;;15;2.62;14.7;;;;1.6;0.0;345;63
8.84;756;23;23;1.0;1.18;2.39;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;90;239;161;58;0;;15;2.88;14.47;;;;1.5;0.0;345;63
9.26;832;22;22;1.0;1.15;2.31;253;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;90;239;161;58;0;;15;2.75;14.7;;;;1.6;0.0;345;63
9.65;781;23;23;1.0;1.17;2.36;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;90;240;160;58;0;;15;2.88;14.47;;;;1.5;0.0;345;63
10.05;807;22;22;1.0;1.14;2.29;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;89;239;162;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
10.45;820;21;21;1.0;1.12;2.26;253;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;88;239;163;58;0;;15;2.62;14.7;;;;1.5;0.0;345;63
10.87;871;21;21;1.0;1.11;2.24;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;87;238;164;58;0;;15;2.62;14.7;;;;1.6;0.0;345;63
11.27;768;23;23;1.0;1.17;2.37;253;0;66;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;238;164;58;0;;15;2.88;14.47;;;;1.5;0.0;345;63
11.67;845;22;22;1.0;1.13;2.28;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;87;239;165;58;0;;15;2.75;14.7;;;;1.6;0.0;345;63
12.07;845;22;22;1.0;1.11;2.25;253;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;85;239;168;58;0;;15;2.75;14.7;;;;1.6;0.0;345;63
12.46;845;21;21;1.0;1.11;2.25;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;85;238;168;58;0;;15;2.62;14.7;;;;1.6;0.0;345;63
12.86;781;22;22;1.0;1.12;2.27;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;85;238;168;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
13.06;807;22;22;1.0;1.11;2.26;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;84;239;169;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
13.47;807;23;23;1.0;1.14;2.33;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;84;240;169;58;0;;15;2.88;14.47;;;;1.6;0.0;345;63
13.87;807;21;21;1.0;1.08;2.18;253;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;84;236;169;58;0;;15;2.62;14.7;;;;1.5;0.0;345;63
14.28;768;22;22;1.0;1.12;2.28;253;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;85;237;168;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
14.67;730;23;23;1.0;1.16;2.35;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;85;238;168;58;0;;15;2.88;14.47;;;;1.4;0.0;345;63
15.09;807;22;22;1.0;1.13;2.29;253;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;85;237;167;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
15.48;807;22;22;1.0;1.13;2.29;253;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;85;238;167;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
15.88;768;22;22;1.0;1.14;2.31;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;86;239;166;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
16.29;832;22;22;1.0;1.14;2.31;253;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;240;165;58;0;;15;2.75;14.7;;;;1.6;0.0;345;63
16.7;871;22;22;1.0;1.15;2.33;253;0;66;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;241;165;58;0;;15;2.75;14.7;;;;1.7;0.0;345;63
17.1;781;22;22;1.0;1.14;2.31;253;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;240;164;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
17.49;781;22;22;1.0;1.14;2.29;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;87;239;164;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
17.91;832;22;22;1.0;1.15;2.31;253;0;65;43;0;0;0;0.0;0.0;140;127;69;56;55;15;87;240;164;58;0;;15;2.75;14.7;;;;1.6;0.0;345;63
18.3;781;23;23;1.0;1.18;2.4;253;0;66;43;0;0;0;0.0;0.0;140;127;69;56;55;15;88;240;163;58;0;;15;2.88;14.47;;;;1.6;0.0;345;63
18.7;768;22;22;1.0;1.14;2.29;253;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;87;239;164;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
18.91;832;21;21;1.0;1.1;2.21;253;0;65;43;0;0;0;0.0;0.0;140;127;69;8;55;15;87;238;164;58;0;;15;2.62;14.7;;;;1.5;0.0;345;63
21.5;768;22;22;1.0;1.12;2.28;22;0;65;43;0;0;0;0.0;0.0;140;127;69;24;55;15;85;237;167;58;0;;15;2.75;14.7;;;;1.5;0.0;345;63
21.9;832;22;22;1.0;1.11;2.25;22;0;65;43;0;0;0;0.0;0.0;140;127;69;40;55;15;85;237;167;58;0;;15;2.75;14.7;;;;1.6;0.0;345;63
