Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
66.87;;;;;;;;;;;;;;;;;;;;;;;345;128;;15.2;;;;;;;;;;;;;;;;;;
67.19;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.9;1.082;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;38
67.56;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;16.6;1.129;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;38
67.94;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.7;1.068;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;41
68.31;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.0;1.02;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;50
68.71;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.0;1.02;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;107
69.07;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.9;1.082;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;38
69.45;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.9;1.082;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;35
69.83;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.1;1.027;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;38
70.21;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.1;1.027;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;38
70.23;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;16.0;1.088;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;38
70.59;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.4;1.048;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;40
70.96;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.1;1.027;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;40
71.36;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;16.1;1.095;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;38
71.72;0.0;0;0;0;12;98;0;64;50;37;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.3;1.041;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;41
72.19;0.0;0;0;117;12;98;0;64;50;38;0;0;0.0;0.0;1.0;0;0;20;0.0;68.3;5.49;;345;128;14.7;17.3;1.177;0;0;0;0;1;0;0;0;0;1;0;16;277;143;145;0;50
72.47;0.0;0;0;119;12;98;0;64;50;38;0;0;0.0;0.0;1.0;0;0;20;0.0;69.2;5.49;;345;128;14.7;17.3;1.177;0;0;0;0;1;0;0;0;0;1;0;16;280;143;145;0;107
72.5;0.0;0;0;119;12;98;0;64;50;38;0;0;0.0;0.0;1.0;0;0;20;0.0;69.2;5.49;;345;128;14.7;14.8;1.007;0;0;0;0;1;0;0;0;0;1;0;16;280;143;145;0;107
72.87;0.0;0;0;119;12;98;0;64;50;38;0;0;0.0;0.0;1.0;0;0;20;0.0;69.2;5.49;;345;128;14.7;16.7;1.136;0;0;0;0;1;0;0;0;0;1;0;16;280;143;145;0;38
73.23;0.0;0;0;0;12;98;0;64;50;32;0;0;0.0;0.0;1.0;0;0;20;0.0;0.3;5.49;;345;128;14.7;16.4;1.116;0;0;0;0;1;1;0;0;0;1;0;16;43;143;145;0;108
73.61;0.0;0;0;0;12;98;0;64;50;32;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;16.4;1.116;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;50
73.64;0.0;0;0;0;12;98;0;64;50;32;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;5.49;;345;128;14.7;15.1;1.027;0;0;0;0;1;1;0;0;0;1;0;16;42;143;145;0;50
