Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Откат по детонации, °;Давление, кПа;VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
0.6;0.0;0;0;0;18;95;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.48;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;159;0;
1.04;0.0;0;0;0;18;95;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.48;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;160;0;
1.43;0.0;0;0;0;18;94;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.47;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;159;0;
1.67;0.0;0;0;0;18;93;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;159;0;
2.07;0.0;0;0;0;18;93;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;159;0;
2.49;0.0;0;0;0;18;93;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;159;0;
2.9;0.0;0;0;0;18;93;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;159;0;
3.3;0.0;0;0;0;18;93;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;159;0;
3.52;0.0;0;0;0;18;93;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.46;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;149;159;0;
3.92;0.0;0;0;0;18;94;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.47;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;159;0;
4.32;0.0;0;0;0;18;95;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.48;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;159;0;
4.75;0.0;0;0;0;18;95;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.48;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;159;0;
5.18;0.0;0;0;0;18;96;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.48;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;145;160;0;
5.6;0.0;0;0;0;18;96;0;64;50;40;0;0;0.0;0.0;1.0;0;0;20;0.0;0.0;7.48;;345;128;14.7;;;0;0;0;0;1;1;0;0;0;1;0;16;42;145;159;0;
