Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
9.39;896;22;22;0;4.87;80;0;65;46;24;0;0;0.0;0.0;1.0;0;0;24;2.75;0.0;2.35;3.6;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;246;42;168;116;0;75
23.24;896;22;22;0;4.87;80;0;65;46;24;0;0;0.0;0.0;1.0;0;0;24;2.75;0.0;2.35;3.6;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;246;42;168;116;0;75
33.2;896;23;23;0;4.87;80;0;66;47;23;0;0;0.0;0.0;1.0;0;0;23;2.88;0.0;2.35;3.6;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;247;42;168;112;0;75
46.23;896;23;23;0;4.87;80;0;66;47;23;0;0;0.0;0.0;1.0;0;0;23;2.88;0.0;2.35;3.6;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;247;42;168;112;0;75
56.4;884;22;22;0;4.8;80;0;65;49;21;0;0;0.0;0.0;1.0;0;0;21;2.75;0.0;2.32;3.5;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;243;42;167;108;0;75
66.56;884;22;22;0;4.8;80;0;65;49;21;0;0;0.0;0.0;1.0;0;0;21;2.75;0.0;2.32;3.5;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;243;42;167;108;0;75
76.72;845;22;22;0;4.8;80;0;65;50;20;0;0;0.0;0.0;1.0;0;0;20;2.75;0.0;2.32;3.4;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;239;42;167;104;0;74
87.73;845;22;22;0;4.8;80;0;65;50;20;0;0;0.0;0.0;1.0;0;0;20;2.75;0.0;2.32;3.4;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;239;42;167;104;0;74
97.9;845;22;22;0;4.67;80;0;65;50;20;0;0;0.0;0.0;1.0;0;0;20;2.75;0.0;2.27;3.3;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;237;42;167;102;0;70
109.9;845;22;22;0;4.67;80;0;65;50;20;0;0;0.0;0.0;1.0;0;0;20;2.75;0.0;2.27;3.3;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;237;42;167;102;0;70
119.86;820;23;23;0;4.77;80;0;65;51;19;0;0;0.0;0.0;1.0;0;0;19;2.88;0.0;2.31;3.3;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;240;42;168;99;0;75
133.49;820;23;23;0;4.77;80;0;65;51;19;0;0;0.0;0.0;1.0;0;0;19;2.88;0.0;2.31;3.3;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;240;42;168;99;0;75
143.47;781;22;22;0;4.72;80;0;65;52;18;0;0;0.0;0.0;1.0;0;0;18;2.75;0.0;2.29;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;234;42;167;95;0;73
156.9;781;22;22;0;4.72;80;0;65;52;18;0;0;0.0;0.0;1.0;0;0;18;2.75;0.0;2.29;3.1;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;234;42;167;95;0;73
167.03;832;22;22;0;4.72;80;0;66;54;16;0;0;0.0;0.0;1.0;0;0;16;2.75;0.0;2.29;3.3;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;237;42;167;92;0;70
177.22;832;22;22;0;4.72;80;0;66;54;16;0;0;0.0;0.0;1.0;0;0;16;2.75;0.0;2.29;3.3;345;128;14.7;;;0;1;0;0;1;1;0;0;0;1;0;237;42;167;92;0;70
187.37;781;23;23;0;4.87;80;0;66;54;16;0;0;0.0;0.0;1.0;0;0;16;2.88;0.0;2.35;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;239;42;168;89;0;74
197.98;781;23;23;0;4.87;80;0;66;54;16;0;0;0.0;0.0;1.0;0;0;16;2.88;0.0;2.35;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;239;42;168;89;0;74
207.97;820;24;24;0;4.95;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.38;3.4;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;239;42;167;87;0;74
220.56;820;24;24;0;4.95;80;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.38;3.4;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;239;42;167;87;0;74
230.73;781;24;24;0;4.88;81;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.36;3.2;345;128;14.47;;;0;1;0;0;1;1;0;0;0;1;0;241;42;166;83;0;75
240.9;781;24;24;0;4.88;81;0;66;55;15;0;0;0.0;0.0;1.0;0;0;15;3.0;0.0;2.36;3.2;345;128;14.47;10.8;0.746;0;1;0;0;1;1;0;0;0;1;0;241;42;166;83;0;75
