время_с;Обороты;Нагрузка (сглаж.);Расход мгновенный;ALPHA;Впрыск РЕАЛ (форс);Карта в тени;Вердикт указателя;XOR тени;Сумма тени;Карта топлива вернула;TPS дроссель;TPS открытие;Обогащ. ускорения;Флаг TPS;VE выбранное;Ktps выбранное;Флаг ХХ/газ;Банк концевиков;Флаги угла;Замкнутый цикл;УОЗ финал сырьё;УОЗ карта;Цель ХХ;АЦП ch0 (МАФ/ДАД);Давление;АЦП ch1 напряжение;АЦП ch2 темп ОЖ;АЦП ch3 O2;peek ($1600);УОЗ_°BTDC;TP_%8;AFR_цель;AFR_факт;поправка_VE;давление_кПа;Загрузка_форс_%;Газ_%;K_форс;КМ;Впрыск расчёт
0.63;781;24;24;1.0;5.06;0;0;119;183;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;85;0;0;169;86;0;;15;3.0;14.47;;;;3.3;0.0;345;63;2.45
1.06;717;24;24;1.0;5.11;0;0;119;183;65;42;0;0;0;0.0;0.0;140;127;69;56;55;15;85;0;0;167;86;0;;15;3.0;14.47;;;;3.1;0.0;345;63;2.47
1.5;820;23;23;1.0;4.87;0;0;119;183;66;42;0;0;0;0.0;0.0;140;127;69;24;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.3;0.0;345;63;2.37
1.9;768;23;23;1.0;4.82;0;0;119;183;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.1;0.0;345;63;2.35
2.12;807;23;23;1.0;4.87;0;0;119;183;66;42;0;0;0;0.0;0.0;140;127;69;40;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.3;0.0;345;63;2.37
2.52;756;24;24;1.0;5.0;0;0;119;183;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;85;0;;15;3.0;14.47;;;;3.1;0.0;345;63;2.42
2.94;845;23;23;1.0;4.8;0;0;119;183;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;170;85;0;;15;2.88;14.47;;;;3.4;0.0;345;63;2.34
3.37;730;24;24;1.0;4.96;0;0;119;183;65;42;0;0;0;0.0;0.0;140;127;69;56;55;15;85;0;0;168;85;0;;15;3.0;14.47;;;;3.0;0.0;345;63;2.41
3.78;807;23;23;1.0;4.92;0;0;119;183;66;42;0;0;0;0.0;0.0;140;127;69;40;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.3;0.0;345;63;2.39
4.2;768;23;23;1.0;4.8;0;0;119;183;65;42;0;0;0;0.0;0.0;140;127;69;56;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.1;0.0;345;63;2.34
4.61;781;23;23;1.0;4.83;0;0;119;183;66;42;0;0;0;0.0;0.0;140;127;69;24;55;15;83;0;0;170;85;0;;15;2.88;14.47;;;;3.1;0.0;345;63;2.35
5.02;781;23;23;1.0;4.82;0;0;119;183;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.1;0.0;345;63;2.35
7.91;768;23;23;1.0;4.95;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.2;0.0;345;63;2.4
8.33;845;23;23;1.0;4.9;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;40;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.5;0.0;345;63;2.38
8.75;820;23;23;1.0;4.95;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;56;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.4;0.0;345;63;2.4
9.16;768;23;23;1.0;4.85;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;24;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.1;0.0;345;63;2.36
9.57;820;25;25;1.0;5.13;2;1;38;168;65;42;0;0;0;0.0;0.0;140;127;69;56;55;15;85;0;0;168;85;0;;15;3.12;14.47;;;;3.5;0.0;345;63;2.48
9.99;756;25;25;1.0;5.22;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;24;55;15;84;0;0;169;85;0;;15;3.12;14.47;;;;3.3;0.0;345;63;2.51
10.41;845;23;23;1.0;4.92;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;56;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.5;0.0;345;63;2.39
10.83;807;23;23;1.0;4.92;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;56;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.3;0.0;345;63;2.39
11.05;820;23;23;1.0;4.82;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;24;55;15;84;0;0;169;85;0;;15;2.88;14.47;;;;3.3;0.0;345;63;2.35
11.46;781;24;24;1.0;5.02;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;84;0;;15;3.0;14.47;;;;3.3;0.0;345;63;2.43
11.86;832;23;23;1.0;4.87;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;84;0;;15;2.88;14.47;;;;3.4;0.0;345;63;2.37
12.29;807;23;23;1.0;4.85;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;24;55;15;84;0;0;169;84;0;;15;2.88;14.47;;;;3.3;0.0;345;63;2.36
12.7;768;24;24;1.0;4.97;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;24;55;15;84;0;0;169;84;0;;15;3.0;14.47;;;;3.2;0.0;345;63;2.41
13.11;845;23;23;1.0;4.82;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;40;55;15;84;0;0;169;84;0;;15;2.88;14.47;;;;3.4;0.0;345;63;2.35
13.51;756;25;25;1.0;5.2;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;24;55;15;84;0;0;169;84;0;;15;3.12;14.47;;;;3.3;0.0;345;63;2.5
13.72;820;23;23;1.0;4.87;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;84;0;;15;2.88;14.47;;;;3.3;0.0;345;63;2.37
14.14;845;23;23;1.0;4.92;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;84;0;;15;2.88;14.47;;;;3.5;0.0;345;63;2.39
14.56;781;24;24;1.0;5.08;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;85;0;0;169;84;0;;15;3.0;14.47;;;;3.3;0.0;345;63;2.46
14.98;807;23;23;1.0;4.95;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;56;55;15;84;0;0;169;84;0;;15;2.88;14.47;;;;3.3;0.0;345;63;2.4
15.37;781;24;24;1.0;5.08;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;56;55;15;85;0;0;169;84;0;;15;3.0;14.47;;;;3.3;0.0;345;63;2.46
15.81;820;23;23;1.0;4.9;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;56;55;15;84;0;0;169;84;0;;15;2.88;14.47;;;;3.3;0.0;345;63;2.38
16.2;845;22;22;1.0;4.7;2;1;38;168;65;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;84;0;;15;2.75;14.7;;;;3.3;0.0;345;63;2.3
16.62;820;23;23;1.0;4.9;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;84;0;;15;2.88;14.47;;;;3.3;0.0;345;63;2.38
17.02;871;22;22;1.0;4.75;2;1;38;168;66;42;0;0;0;0.0;0.0;140;127;69;8;55;15;84;0;0;169;84;0;;15;2.75;14.7;;;;3.4;0.0;345;63;2.32
